id,x,y,tier,cluster
399,0.669277,0.497078,3,1
400,0.185963,0.870967,2,2
401,0.19183,0.902429,2,2
402,0.223583,0.818692,2,2
403,0.208335,0.861944,2,2
404,0.186611,0.772524,2,2
405,0.270469,0.843727,2,2
406,0.234925,0.823919,2,2
407,0.224596,0.819093,2,2
408,0.258985,0.924933,2,2
409,0.239473,0.856897,2,2
410,0.539109,0.587075,2,3
411,0.422919,0.599672,2,3
412,0.468137,0.613139,2,3
413,0.509744,0.587435,2,3
414,0.480006,0.637231,2,3
415,0.530511,0.557501,2,3
416,0.471281,0.604519,2,3
417,0.517145,0.532249,2,3
418,0.471941,0.653045,2,3
419,0.49633,0.568544,2,3
420,0.886131,0.767409,2,4
421,0.883203,0.752641,2,4
422,0.81699,0.687459,2,4
423,0.869477,0.642835,2,4
424,0.811981,0.706319,2,4
425,0.845367,0.722991,2,4
426,0.862251,0.665236,2,4
427,0.661918,0.494823,3,1
428,0.839104,0.665971,2,4
429,0.856873,0.648166,2,4
430,0.999945,0.269746,2,5
431,1,0.248747,2,5
432,1,0.284837,2,5
433,0.976835,0.23679,2,5
434,0.967043,0.223285,2,5
435,1,0.25366,2,5
436,1,0.290788,2,5
437,0.991373,0.232849,2,5
438,0.97913,0.275977,2,5
439,1,0.329203,2,5
440,0.17631,0.808269,2,2
441,0.0968704,0.809477,1,6
442,0.045169,0.82445,1,6
443,0.0691143,0.881982,1,6
444,0.826264,0.708721,1,7
445,0.804115,0.691523,1,7
446,0.858073,0.678202,1,7
447,0.882421,0.706215,1,7
448,0.645641,1,1,8
449,0.682929,0.894383,1,8
450,0.655249,0.969514,1,8
451,0.730109,0.963434,1,8
452,0.256531,0.733444,1,9
453,0.310043,0.769457,1,9
454,0.310876,0.729529,1,9
455,0.208854,0.835606,1,9
456,0.878383,0.285925,1,10
457,0.808137,0.461257,1,10
458,0.819877,0.290611,1,10
459,0.818066,0.302139,1,10
460,0.362602,0.787566,1,11
461,0.325203,0.724285,1,11
462,0.512911,0.631713,2,3
463,0.394037,0.606379,1,11
464,0.747165,0.0831416,0,12
465,0.682114,0.476667,3,1
466,0.952648,0.0845378,0,13
467,0.809272,0.053141,0,13
468,0.0599281,0.86882,1,6
469,0,0.932173,0,14
470,0.8116,0.893193,0,15
471,0.819071,0.715356,2,4
